CNAE;Ano;Quantidade total
Manutenção e reparação de máquinas de escrever, calcular e de outros equipamentos não-eletrônicos para escritório;2011;4
Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;2011;35
Manutenção e reparação de máquinas e aparelhos para a indústria de celulose, papel e papelão e artefatos;2011;1
Manutenção e reparação de máquinas e aparelhos para a indústria do plástico;2011;2
Manutenção e reparação de máquinas e equipamentos de terraplenagem, pavimentação e construção, exceto tratores;2011;6
Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados;2011;6
Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária;2011;2
Manutenção e reparação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;2011;9
Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente;2011;34
Manutenção e reparação de máquinas motrizes não-elétricas;2011;3
Manutenção e reparação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;2011;12
Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;2011;4
Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;2011;17
Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas;2011;22
Manutenção e reparação de máquinas-ferramenta;2011;19
Manutenção e reparação de motocicletas e motonetas;2011;51
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;2011;41
Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;2011;18
Manutenção e reparação de tratores, exceto agrícolas;2011;3
Manutenção e reparação de válvulas industriais;2011;1
Marketing direto;2011;53
Medição de consumo de energia elétrica, gás e água;2011;2
Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente;2011;18
Metalurgia do cobre;2011;1
Metalurgia do pó;2011;3
Metalurgia dos metais preciosos;2011;2
Moagem de trigo e fabricação de derivados;2011;3
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;2011;1
Montagem de estruturas metálicas;2011;39
Montagem e desmontagem de andaimes e outras estruturas temporárias;2011;9
Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos;2011;2
Obras de acabamento em gesso e estuque;2011;62
Obras de alvenaria;2011;502
Obras de fundações;2011;23
Obras de montagem industrial;2011;10
Obras de terraplenagem;2011;73
Obras de urbanização - ruas, praças e calçadas;2011;17
Operador de transporte multimodal - OTM;2011;4
Operadores turísticos;2011;5
Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional;2011;1
Organização de excursões em veículos rodoviários próprios, municipal;2011;1
Organização logística do transporte de carga;2011;11
Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente;2011;7
Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente;2011;28
Outras atividades de atenção à saúde humana não especificadas anteriormente;2011;32
Outras atividades de ensino não especificadas anteriormente;2011;151
Outras atividades de prestação de serviços de informação não especificadas anteriormente;2011;21
Outras atividades de publicidade não especificadas anteriormente;2011;51
Outras atividades de recreação e lazer não especificadas anteriormente;2011;53
Outras atividades de serviços financeiros não especificadas anteriormente;2011;1
Outras atividades de serviços pessoais não especificadas anteriormente;2011;72
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;2011;289
Outras atividades de telecomunicações não especificadas anteriormente;2011;42
Outras atividades esportivas não especificadas anteriormente;2011;4
Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;2011;42
Outras obras de acabamento da construção;2011;93
Outras obras de engenharia civil não especificadas anteriormente;2011;32
Outras obras de instalações em construções não especificadas anteriormente;2011;23
Outras sociedades de participação, exceto holdings;2011;20
Outros alojamentos não especificados anteriormente;2011;17
Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;2011;115
Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;2011;50
Outros transportes aquaviários não especificados anteriormente;2011;1
Outros transportes rodoviários de passageiros não especificados anteriormente;2011;5
Padaria e confeitaria com predominância de revenda;2011;360
Pensões (alojamento);2011;11
Perfuração e construção de poços de água;2011;4
Perfurações e sondagens;2011;4
Peritos e avaliadores de seguros;2011;10
Pesca de peixes em água doce;2011;2
Pesquisa e desenvolvimento experimental em ciências físicas e naturais;2011;4
Pesquisa e desenvolvimento experimental em ciências sociais e humanas;2011;1
Pesquisas de mercado e de opinião pública;2011;6
Pintura para sinalização em pistas rodoviárias e aeroportos;2011;6
Planos de auxílio-funeral;2011;3
Planos de saúde;2011;8
Portais, provedores de conteúdo e outros serviços de informação na internet;2011;35
Preparação de canteiro e limpeza de terreno;2011;4
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;2011;402
Preparação de massa de concreto e argamassa para construção;2011;4
Preparação de subprodutos do abate;2011;1
Preparação e fiação de fibras de algodão;2011;3
Preparação e fiação de fibras têxteis naturais, exceto algodão;2011;6
Produção de alumínio e suas ligas em formas primárias;2011;5
Produção de ânodos para galvanoplastia;2011;1
Produção de artefatos estampados de metal;2011;76
Produção de carvão vegetal - florestas plantadas;2011;31
Produção de espetáculos circenses, de marionetes e similares;2011;1
Produção de ferroligas;2011;6
Produção de filmes para publicidade;2011;6
Produção de forjados de aço;2011;8
Produção de forjados de metais não-ferrosos e suas ligas;2011;3
Produção de laminados de alumínio;2011;5
Produção de laminados de zinco;2011;2
Produção de laminados longos de aço, exceto tubos;2011;1
Produção de laminados planos de aço ao carbono, revestidos ou não;2011;4
Produção de laminados planos de aços especiais;2011;1
Produção de mudas e outras formas de propagação vegetal, certificadas;2011;1
Produção de outros tubos de ferro e aço;2011;5
Produção de ovos;2011;4
Produção de relaminados, trefilados e perfilados de aço, exceto arames;2011;16
Produção de semi-acabados de aço;2011;3
Produção de tubos de aço com costura;2011;8
Produção de tubos de aço sem costura;2011;1
Produção e promoção de eventos esportivos;2011;16
Produção musical;2011;67
Produção teatral;2011;8
Promoção de vendas;2011;260
Provedores de acesso às redes de comunicações;2011;12
Recarga de cartuchos para equipamentos de informática;2011;6
Recondicionamento e recuperação de motores para veículos automotores;2011;18
Recuperação de materiais metálicos, exceto alumínio;2011;29
Recuperação de materiais não especificados anteriormente;2011;40
Recuperação de materiais plásticos;2011;56
Recuperação de sucatas de alumínio;2011;17
Reforma de pneumáticos usados;2011;16
Reparação de artigos do mobiliário;2011;47
Reparação de bicicletas, triciclos e outros veículos não-motorizados;2011;14
Reparação de calçados, bolsas e artigos de viagem;2011;15
Reparação de jóias;2011;4
Reparação de relógios;2011;7
Reparação e manutenção de computadores e de equipamentos periféricos;2011;503
Reparação e manutenção de equipamentos de comunicação;2011;82
Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;2011;205
Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente;2011;58
Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;2011;52
Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;2011;19
Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares;2011;16
Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações;2011;2
Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;2011;71
Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;2011;43
Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;2011;9
Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria;2011;22
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;2011;207
Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios;2011;3
Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores;2011;28
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;2011;98
Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;2011;79
Representantes comerciais e agentes do comércio de veículos automotores;2011;4
Reprodução de software em qualquer suporte;2011;2
Reprodução de vídeo em qualquer suporte;2011;1
Restauração de obras de arte;2011;1
Restauração e conservação de lugares e prédios históricos;2011;2
Restaurantes e similares;2011;1150
Salas de acesso à internet;2011;115
Securitização de créditos;2011;2
Seleção e agenciamento de mão-de-obra;2011;19
Serrarias com desdobramento de madeira;2011;9
Serviço de corte e dobra de metais;2011;3
Serviço de manejo de animais;2011;2
Serviço de poda de árvores para lavouras;2011;1
Serviço de preparação de terreno, cultivo e colheita;2011;3
Serviço de pulverização e controle de pragas agrícolas;2011;1
Serviço de táxi;2011;21
Serviço de transporte de passageiros - locação de automóveis com motorista;2011;45
Serviços advocatícios;2011;100
Serviços ambulantes de alimentação;2011;223
Serviços combinados de escritório e apoio administrativo;2011;404
Serviços combinados para apoio a edifícios, exceto condomínios prediais;2011;92
Serviços de acabamentos gráficos, exceto encadernação e plastificação;2011;25
Serviços de adestramento de cães de guarda;2011;10
Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;2011;4
Serviços de alimentação para eventos e recepções - bufê;2011;116
Serviços de alinhamento e balanceamento de veículos automotores;2011;30
Serviços de arquitetura;2011;49
Serviços de assistência social sem alojamento;2011;1
Serviços de borracharia para veículos automotores;2011;111
Serviços de capotaria;2011;3
Serviços de cartografia, topografia e geodésia;2011;18
Serviços de comunicação multimídia - SCM;2011;8
Serviços de confecção de armações metálicas para a construção;2011;12
Serviços de desenho técnico relacionados à arquitetura e engenharia;2011;45
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;2011;47
Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética;2011;6
Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos;2011;1
Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos;2011;2
Serviços de diálise e nefrologia;2011;2
Serviços de dublagem;2011;1
Serviços de encadernação e plastificação;2011;2
Serviços de engenharia;2011;157
Serviços de entrega rápida;2011;204
Serviços de funerárias;2011;13
Serviços de gravação de carimbos, exceto confecção;2011;2
Serviços de instalação, manutenção e reparação de acessórios para veículos automotores;2011;86
Serviços de lanternagem ou funilaria e pintura de veículos automotores;2011;243
Serviços de lavagem, lubrificação e polimento de veículos automotores;2011;225
Serviços de levantamento de fundos sob contrato;2011;2
Serviços de malote não realizados pelo Correio Nacional;2011;72
Serviços de manutenção e reparação elétrica de veículos automotores;2011;98
Serviços de manutenção e reparação mecânica de veículos automotores;2011;637
Serviços de mixagem sonora em produção audiovisual;2011;2
Serviços de montagem de móveis de qualquer material;2011;33
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;2011;11
Serviços de organização de feiras, congressos, exposições e festas;2011;323
Serviços de perícia técnica relacionados à segurança do trabalho;2011;10
Serviços de pintura de edifícios em geral;2011;241
Serviços de pré-impressão;2011;47
Serviços de preparação do terreno não especificados anteriormente;2011;3
Serviços de prótese dentária;2011;11
Serviços de reboque de veículos;2011;53
Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências;2011;5
Serviços de reservas e outros serviços de turismo não especificados anteriormente;2011;17
Serviços de ressonância magnética;2011;1
Serviços de sepultamento;2011;1
Serviços de tatuagem e colocação de piercing;2011;24
Serviços de telecomunicações por fio não especificados anteriormente;2011;2
Serviços de telecomunicações sem fio não especificados anteriormente;2011;1
Serviços de telefonia fixa comutada - STFC;2011;1
Serviços de tomografia;2011;1
Serviços de tradução, interpretação e similares;2011;14
Serviços de tratamento e revestimento em metais;2011;28
Serviços de usinagem, tornearia e solda;2011;158
Serviços de vacinação e imunização humana;2011;1
Serviços domésticos;2011;2
Serviços especializados para construção não especificados anteriormente;2011;38
Serviços móveis de atendimento a urgências, exceto por UTI móvel;2011;3
Sociedades de fomento mercantil - factoring;2011;43
Suporte técnico, manutenção e outros serviços em tecnologia da informação;2011;199
Tecelagem de fios de fibras artificiais e sintéticas;2011;7
Tecelagem de fios de fibras têxteis naturais, exceto algodão;2011;3
Telefonia móvel celular;2011;1
Terminais rodoviários e ferroviários;2011;1
Testes e análises técnicas;2011;13
Torrefação e moagem de café;2011;2
Transporte aéreo de carga;2011;1
Transporte escolar;2011;103
Transporte ferroviário de carga;2011;1
Transporte marítimo de cabotagem - Carga;2011;2
Transporte por navegação interior de carga, municipal, exceto travessia;2011;2
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;2011;83
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;2011;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;2011;37
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;2011;40
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;2011;59
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2011;1443
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;2011;663
Transporte rodoviário de mudanças;2011;29
Transporte rodoviário de produtos perigosos;2011;74
Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;2011;122
Tratamento e disposição de resíduos não-perigosos;2011;1
Tratamento e disposição de resíduos perigosos;2011;2
Tratamentos térmicos, acústicos ou de vibração;2011;3
Treinamento em desenvolvimento profissional e gerencial;2011;155
Treinamento em informática;2011;68
Apart-hotéis;2011;1
Apicultura;2011;3
Campings;2011;3
Chaveiros;2011;110
Fotocópias;2011;52
Guarda-móveis;2011;1
Hotéis;2011;113
Lavanderias;2011;61
Motéis;2011;27
Peixaria;2011;25
Ranicultura;2011;1
Tabacaria;2011;19
Tinturarias;2011;2
Toalheiros;2011;4
Abate de aves;2012;13
Acabamento de calçados de couro sob contrato;2012;16
Administração de cartões de crédito;2012;3
Administração de consórcios para aquisição de bens e direitos;2012;5
Administração de obras;2012;18
Agenciamento de cargas, exceto para o transporte marítimo;2012;18
Agenciamento de espaços para publicidade, exceto em veículos de comunicação;2012;20
Agenciamento de profissionais para atividades esportivas, culturais e artísticas;2012;6
Agências de notícias;2012;6
Agências de publicidade;2012;45
Agências de viagens;2012;173
Agências matrimoniais;2012;10
Agente de propriedade industrial;2012;1
Agentes de investimentos em aplicações financeiras;2012;6
Albergues, exceto assistenciais;2012;3
Alojamento de animais domésticos;2012;1
Aluguel de andaimes;2012;23
Aluguel de aparelhos de jogos eletrônicos;2012;4
Aluguel de equipamentos científicos, médicos e hospitalares, sem operador;2012;1
Aluguel de equipamentos recreativos e esportivos;2012;33
Aluguel de fitas de vídeo, DVDs e similares;2012;36
Aluguel de imóveis próprios;2012;180
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;2012;84
Aluguel de máquinas e equipamentos para escritório;2012;19
Aluguel de material médico;2012;3
Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal;2012;43
Aluguel de objetos do vestuário, jóias e acessórios;2012;32
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;2012;62
Aluguel de outros objetos pessoais e domésticos não especificados anteriormente;2012;3
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;2012;23
Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário;2012;5
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;2012;36
Aplicação de revestimentos e de resinas em interiores e exteriores;2012;86
Armazéns gerais - emissão de warrant;2012;19
Artes cênicas, espetáculos e atividades complementares não especificados anteriormente;2012;27
Atividade médica ambulatorial com recursos para realização de exames complementares;2012;29
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;2012;26
Atividade médica ambulatorial restrita a consultas;2012;229
Atividade odontológica;2012;152
Atividades auxiliares da justiça;2012;1
Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;2012;6
Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem;2012;26
Atividades de agenciamento marítimo;2012;1
Atividades de apoio à agricultura não especificadas anteriormente;2012;2
Atividades de apoio à educação, exceto caixas escolares;2012;4
Atividades de apoio à gestão de saúde;2012;2
Atividades de apoio à pecuária não especificadas anteriormente;2012;4
Atividades de apoio à produção florestal;2012;2
Atividades de artistas plásticos, jornalistas independentes e escritores;2012;5
Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente;2012;23
Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente;2012;1
Atividades de atenção ambulatorial não especificadas anteriormente;2012;8
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;2012;14
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2012;40
Atividades de centros de assistência psicossocial;2012;3
Atividades de cobrança e informações cadastrais;2012;178
Atividades de condicionamento físico;2012;156
Atividades de consultoria e auditoria contábil e tributária;2012;6
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;2012;250
Atividades de contabilidade;2012;490
Atividades de design não especificadas anteriormente;2012;4
Atividades de despachantes aduaneiros;2012;15
Atividades de enfermagem;2012;2
Atividades de Estética e outros serviços de cuidados com a beleza;2012;654
Atividades de exibição cinematográfica;2012;5
Atividades de fisioterapia;2012;58
Atividades de fonoaudiologia;2012;13
Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio;2012;33
Atividades de gravação de som e de edição de música;2012;11
Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários;2012;51
Atividades de limpeza não especificadas anteriormente;2012;19
Atividades de monitoramento de sistemas de segurança eletrônico;2012;48
Atividades de podologia;2012;2
Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;2012;39
Atividades de práticas integrativas e complementares em saúde humana;2012;6
Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;2012;30
Atividades de produção de fotografias aéreas e submarinas;2012;6
Atividades de produção de fotografias, exceto aérea e submarina;2012;155
Atividades de profissionais da área de saúde não especificadas anteriormente;2012;34
Atividades de profissionais da nutrição;2012;6
Atividades de psicologia e psicanálise;2012;25
Atividades de rádio;2012;6
Atividades de sauna e banhos;2012;2
Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;2012;21
Atividades de sonorização e de iluminação;2012;53
Atividades de teleatendimento;2012;24
Atividades de televisão aberta;2012;3
Atividades de terapia ocupacional;2012;2
Atividades de vigilância e segurança privada;2012;37
Atividades de franqueadas e permissionárias do Correio Nacional;2012;12
Atividades do Operador Portuário;2012;1
Atividades funerárias e serviços relacionados não especificados anteriormente;2012;9
Atividades paisagísticas;2012;184
Atividades relacionadas a esgoto, exceto a gestão de redes;2012;6
Atividades relacionadas à televisão por assinatura, exceto programadoras;2012;1
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;2012;6
Atividades veterinárias;2012;40
Auditoria e consultoria atuarial;2012;1
Bancos múltiplos, sem carteira comercial;2012;1
Bares e outros estabelecimentos especializados em servir bebidas;2012;1175
Beneficiamento de arroz;2012;1
Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente;2012;4
Britamento de pedras, exceto associado à extração;2012;1
Cabeleireiros, manicure e pedicure;2012;2627
Cantinas - serviços de alimentação privativos;2012;71
Captação, tratamento e distribuição de água;2012;2
Carga e descarga;2012;64
Casas de bingo;2012;1
Casas de festas e eventos;2012;68
Casas lotéricas;2012;83
Clínicas e residências geriátricas;2012;3
Clubes sociais, esportivos e similares;2012;1
Coleta de resíduos não-perigosos;2012;55
Coleta de resíduos perigosos;2012;3
Comércio a varejo de automóveis, camionetas e utilitários novos;2012;54
Comércio a varejo de automóveis, camionetas e utilitários usados;2012;185
Comércio a varejo de motocicletas e motonetas novas;2012;21
Comércio a varejo de motocicletas e motonetas usadas;2012;5
Comércio a varejo de peças e acessórios novos para veículos automotores;2012;1245
Comércio a varejo de peças e acessórios para motocicletas e motonetas;2012;119
Comércio a varejo de peças e acessórios usados para veículos automotores;2012;81
Comércio a varejo de pneumáticos e câmaras-de-ar;2012;110
Comércio atacadista de água mineral;2012;3
Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR);2012;5
Comércio atacadista de algodão;2012;1
Comércio atacadista de alimentos para animais;2012;18
Comércio atacadista de animais vivos;2012;3
Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico;2012;10
Comércio atacadista de artigos de armarinho;2012;7
Comércio atacadista de artigos de cama, mesa e banho;2012;6
Comércio atacadista de artigos de escritório e de papelaria;2012;18
Comércio atacadista de artigos de tapeçaria;2012;12
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;2012;33
Comércio atacadista de aves abatidas e derivados;2012;1
Comércio atacadista de aves vivas e ovos;2012;3
Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada;2012;1
Comércio atacadista de bebidas não especificadas anteriormente;2012;10
Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;2012;5
Comércio atacadista de bolsas, malas e artigos de viagem;2012;7
Comércio atacadista de bombas e compressores;2012;4
Comércio atacadista de café torrado, moído e solúvel;2012;1
Comércio atacadista de calçados;2012;8
Comércio atacadista de carnes bovinas e suínas e derivados;2012;11
Comércio atacadista de cereais e leguminosas beneficiados;2012;5
Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada;2012;1
Comércio atacadista de cerveja, chope e refrigerante;2012;6
Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes;2012;9
Comércio atacadista de cigarros, cigarrilhas e charutos;2012;1
Comércio atacadista de cimento;2012;3
Comércio atacadista de combustíveis de origem mineral em bruto;2012;1
Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante;2012;9
Comércio atacadista de combustíveis realizado por transportador retalhista (TRR);2012;1
Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;2012;9
Comércio atacadista de cosméticos e produtos de perfumaria;2012;40
Comércio atacadista de embalagens;2012;88
Comércio atacadista de energia elétrica;2012;1
Comércio atacadista de equipamentos de informática;2012;17
Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico;2012;13
Comércio atacadista de ferragens e ferramentas;2012;46
Comércio atacadista de filmes, CDs, DVDs, fitas e discos;2012;3
Comércio atacadista de fios e fibras beneficiados;2012;5
Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos;2012;41
Comércio atacadista de gás liqüefeito de petróleo (GLP);2012;2
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;2012;21
Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas;2012;7
Comércio atacadista de leite e laticínios;2012;5
Comércio atacadista de livros, jornais e outras publicações;2012;5
Comércio atacadista de lubrificantes;2012;10
Comércio atacadista de lustres, luminárias e abajures;2012;6
Comércio atacadista de madeira e produtos derivados;2012;14
Comércio atacadista de máquinas e equipamentos para uso comercial;2012;19
Comércio atacadista de máquinas e equipamentos para uso industrial;2012;148
Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário;2012;6
Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar;2012;16
Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção;2012;14
Comércio atacadista de mármores e granitos;2012;8
Comércio atacadista de massas alimentícias;2012;4
Comércio atacadista de materiais de construção em geral;2012;33
Comércio atacadista de material elétrico;2012;27
Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2012;4
Comércio atacadista de medicamentos e drogas de uso humano;2012;9
Comércio atacadista de medicamentos e drogas de uso veterinário;2012;2
Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;2012;11
Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;2012;39
Comércio atacadista de móveis e artigos de colchoaria;2012;9
Comércio atacadista de óleos e gorduras;2012;1
Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente;2012;62
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;2012;63
Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente;2012;31
Comércio atacadista de pães, bolos, biscoitos e similares;2012;3
Comércio atacadista de papel e papelão em bruto;2012;11
Comércio atacadista de pescados e frutos do mar;2012;3
Comércio atacadista de produtos alimentícios em geral;2012;68
Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada;2012;4
Comércio atacadista de produtos da extração mineral, exceto combustíveis;2012;6
Comércio atacadista de produtos de higiene pessoal;2012;8
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar;2012;23
Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada;2012;1
Comércio atacadista de produtos odontológicos;2012;13
Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;2012;76
Comércio atacadista de próteses e artigos de ortopedia;2012;4
Comércio atacadista de resíduos de papel e papelão;2012;39
Comércio atacadista de resíduos e sucatas metálicos;2012;92
Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão;2012;66
Comércio atacadista de resinas e elastômeros;2012;9
Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho;2012;18
Comércio atacadista de sementes, flores, plantas e gramas;2012;16
Comércio atacadista de solventes;2012;2
Comércio atacadista de sorvetes;2012;5
Comércio atacadista de suprimentos para informática;2012;5
Comércio atacadista de tecidos;2012;11
Comércio atacadista de tintas, vernizes e similares;2012;14
Comércio atacadista de vidros, espelhos e vitrais;2012;10
Comércio atacadista especializado de materiais de construção não especificados anteriormente;2012;17
Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente;2012;30
Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;2012;89
Comércio por atacado de automóveis, camionetas e utilitários novos e usados;2012;1
Comércio por atacado de caminhões novos e usados;2012;5
Comércio por atacado de peças e acessórios novos para veículos automotores;2012;110
Comércio por atacado de peças e acessórios para motocicletas e motonetas;2012;12
Comércio por atacado de pneumáticos e câmaras-de-ar;2012;9
Comércio sob consignação de motocicletas e motonetas;2012;1
Comércio sob consignação de veículos automotores;2012;6
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;2012;419
Comércio varejista de antigüidades;2012;11
Comércio varejista de armas e munições;2012;1
Comercio varejista de artigos de armarinho;2012;454
Comércio varejista de artigos de caça, pesca e camping;2012;35
Comercio varejista de artigos de cama, mesa e banho;2012;225
Comércio varejista de artigos de colchoaria;2012;61
Comércio varejista de artigos de iluminação;2012;30
Comércio varejista de artigos de joalheria;2012;70
Comércio varejista de artigos de óptica;2012;200
Comércio varejista de artigos de papelaria;2012;372
Comércio varejista de artigos de relojoaria;2012;31
Comércio varejista de artigos de tapeçaria, cortinas e persianas;2012;92
Comércio varejista de artigos de viagem;2012;37
Comércio varejista de artigos do vestuário e acessórios;2012;3812
Comércio varejista de artigos esportivos;2012;113
Comércio varejista de artigos fotográficos e para filmagem;2012;76
Comércio varejista de artigos médicos e ortopédicos;2012;63
Comércio varejista de bebidas;2012;525
Comércio varejista de bicicletas e triciclos;2012;97
Comércio varejista de brinquedos e artigos recreativos;2012;122
Comércio varejista de cal, areia, pedra britada, tijolos e telhas;2012;86
Comércio varejista de calçados;2012;324
Comércio varejista de carnes - açougues;2012;253
Comércio varejista de combustíveis para veículos automotores;2012;227
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;2012;768
Comércio varejista de discos, CDs, DVDs e fitas;2012;52
Comércio varejista de doces, balas, bombons e semelhantes;2012;333
Comércio varejista de embarcações e outros veículos recreativos;2012;16
Comércio varejista de equipamentos para escritório;2012;27
Comércio varejista de ferragens e ferramentas;2012;488
